review_id;user_id;business_id;stars;useful;funny;cool;date;text
lWC-xP3rd6obsecCYsGZRg;ak0TdVmGKo4pwqdJSTLwWw;6iYb2HFDywm3zjuRg0shjw;4.0;3;1;1;2014-10-11 03:34:02;Apparently Prides Osteria had a rough summer as evidenced by the almost empty dining room at 6:30 on a Friday night. However new blood in the kitchen seems to have revitalized the food from other customers recent visits. Waitstaff was warm but unobtrusive. By 8 pm or so when we left the bar was full and the dining room was much more lively than it had been. Perhaps Beverly residents prefer a later seating. After reading the mixed reviews of late I was a little tentative over our choice but luckily there was nothing to worry about in the food department. We started with the fried dough, burrata and prosciutto which were all lovely. Then although they don't offer half portions of pasta we each ordered the entree size and split them. We chose the tagliatelle bolognese and a four cheese filled pasta in a creamy sauce with bacon, asparagus and grana frita. Both were very good. We split a secondi which was the special Berkshire pork secreto, which was described as a pork skirt steak with garlic potato purée and romanesco broccoli (incorrectly described as a romanesco sauce). Some tables received bread before the meal but for some reason we did not. Management also seems capable for when the tenants in the apartment above began playing basketball she intervened and also comped the tables a dessert. We ordered the apple dumpling with gelato and it was also quite tasty. Portions are not huge which I particularly like because I prefer to order courses. If you are someone who orders just a meal you may leave hungry depending on you appetite. Dining room was mostly younger crowd while the bar was definitely the over 40 set. Would recommend that the naysayers return to see the improvement although I personally don't know the former glory to be able to compare. Easy access to downtown Salem without the crowds on this month of October.
8bFej1QE5LXp4O05qjGqXA;YoVfDbnISlW0f7abNQACIg;6iYb2HFDywm3zjuRg0shjw;4.0;1;0;0;2015-07-03 20:38:25;This store is pretty good. Not as great as Walmart (or my preferred, Milford Target), but closer and in a easier area to get to.  The store itself is pretty clean and organized, the staff are friendly (most of the time), and BEST of all is the Self Checkout this store has! Great clearance sections throughout, and great prices on everything in the store, in general (they pricematch too!). Christian, Debbie, Jen and Hanna are all very friendly, helpful, sensitive to all customer needs. Definitely one of the better Target locations in the area, and they do a GREAT job assisting customers for being such a busy store. Located directly in the Framingham Mall on Cochituate Rd / Route 30. 4 stars.
NDhkzczKjLshODbqDoNLSg;eC5evKn1TWDyHCyQAwguUw;6iYb2HFDywm3zjuRg0shjw;5.0;0;0;0;2013-05-28 20:38:06;I called WVM on the recommendation of a couple of friends who had used them in the past and thought they did a nice job. I'm a fan now, too.Evan and Cody showed up right on time for my move this past weekend. They were friendly and energetic, working quickly but carefully to get all my things moved out of the old place and into the new one in less than 2.5 hours. All of my (heavy) furniture arrived in perfect condition, and they took extra care not to scratch the wood floors in the process.I hope not to move again anytime soon, but next time I do, I'll be calling WVM.
T5fAqjjFooT4V0OeZyuk1w;SFQ1jcnGguO0LYWnbbftAA;tCbdrRPZA0oiIYSmHG3J0w;2.0;1;1;1;2010-01-08 02:29:15;I've stayed at many Marriott and Renaissance Marriott's and this was a huge disappointment! The front desk and atrium is nice..there is a starbucks on site which is nice.The rooms are run down and old.  There is a flat screen but that is to be expected of a Renaissance.We got this hotel via Priceline at a rate of $75/night...good deal for the price but this is not a true Renaissance.
sjm_uUcQVxab_EeLCqsYLg;0kA0PAJ8QFMeveQWHFqz2A;bvN78flM8NLprQ1a1y5dRg;4.0;0;0;0;2011-07-28 18:05:01;The food is always great here. The service from both the manager as well as the staff is super. Only draw back of this restaurant is it's super loud. If you can, snag a patio table!
J4a2TuhDasjn2k3wWtHZnQ;RNm_RWkcd02Li2mKPRe7Eg;oaepsyvc0J17qwi8cfrOWg;1.0;2;0;0;2018-01-21 04:41:03;This place used to be a cool, chill place. Now its a bunch of neanderthal bouncers hopped up on steroids acting like the can do whatever they want. There are so many better places in davis square where they are glad you are visiting their business. Sad that the burren is now the worst place in davis.
28gGfkLs3igtjVy61lh77Q;Q8c91v7luItVB0cMFF_mRA;oaepsyvc0J17qwi8cfrOWg;2.0;0;0;0;2006-04-16 02:58:44;The setting is perfectly adequate, and the food comes close.   The dining chains like Chilis and Victoria Station do barbecue better.It's no surprise you can always pick up coupons for Linwood at restaurant.com.
9vqwvFCBG3FBiHGmOHMmiA;XGkAG92TQ3MQUKGX9sLUhw;PE9uqAjdw0E4-8mjGl3wVA;5.0;0;0;0;2017-12-02 18:16:13;Probably one of the better breakfast sandwiches I've ever had. I had the EGGMEATMUFFIN, the bread was toasted perfectly and the bacon was a real thick cut. Not that lame bacon we are more familiar with at your conventional breakfast diner. In addition, the place was clean and the staff was very helpful. The butcher had several different cuts available and was knowledgable as well as friendly. I left with some cuts of pork and beef and am excited to come back!
2l_TDrQ7p-5tANOyiOlkLQ;LWUnzwK0ILquLLZcHHE1Mw;PE9uqAjdw0E4-8mjGl3wVA;4.0;1;0;0;2012-05-28 15:00:47;I am definitely a fan of Sports Authority.  This particular location has a good check in deal.  We came here near Christmas time to buy some presents and we had a good experience.  The staff members were very friendly and they helped us find what we were looking for.  We got some golf stuff, two pairs of shoes, a tennis racket bag, and some bicycle accessories.  The store was clean and well organized.  They have everything from apparel to basketballs and everything in between.  Good spot to buy athletic merchandise.
KKVFopqzcVfcubIBxmIjVA;99RsBrARhhx60UnAC4yDoA;D4JtQNTI4X3KcbzacDJsMw;5.0;0;0;0;2014-05-07 18:10:21;I work in the Pru and this is the most affordable and tasty place in the food court.  deals where a meal is $5-$7 and the chicken pesto is really good.   I am not a chowda person but all there soups I have had are pretty damn good.  Broccoli chicken is my favorite.  Also, probably the most personable Food court staff I have ever had the pleasure of ordering from.
FdoBFTjXXMn4hVnJ59EtiQ;eLAYHxHUutiXswy-CfeiUw;D4JtQNTI4X3KcbzacDJsMw;1.0;0;0;0;2017-09-08 23:26:10;They NEVER seem to get our order correct, service is crappy, food is inconsistent and has gone down hill steadily in the last 6-9 months! WILL NEVER GO THERE AGAIN!
Qv_lQb1Yu9DGsUO3r-enNw;Ngl83gs3n22SzLAsNw2znw;t35jsh9YnMtttm69UCp7gw;2.0;3;0;0;2013-01-02 18:12:15;Disappointing. Bolt is a follow up of Fanny's Fabrics, which closed. Like Fanny's, the selection is small. The fabrics lean toward contemporary. They also have a small stock of fabrics that you can order; however, they don't have enough room to display their selections, so it's like trying to paw through your closet when it has twice as many clothes as the racks were meant to handle. The woman who works there most of the time is very nice and helpful. However, my mother and I both bought fabric there, and we both had the same problem: the employee helped us calculate our yardage without taking the repeat into consideration. I brought my pillow forms with me, so there was no doubt exactly how large they were. My mother was able to make her project work, but I came up a pillow short. By the time the pillows were made, I realized I was short, and I returned to Bolt (all in a month's time), the fabric had sold out, with no plans on reordering. Fortunately for me, I was just making a number of large throw pillows. Now I don't have the number I wanted, but I can be flexible. What if this had been an upholstery job and my piece was partially completed? Obviously, unacceptable. My advise is to feel free and shop here, but figure out your measurements on your own.
Gi5LSRmTXoL9Bp4jNGPjLw;hn0ZbitvmlHnF--KJGJ6_A;jFYIsSb7r1QeESVUnXPHBw;4.0;0;0;0;2011-10-27 14:32:57;I have been here twice and have had really good food and service both times. I got a burger with caramelized onions, a red wine sauce and I believe blue cheese the first time. It was excellent and just the right size for me. I hate going out and ordering a burger that is bigger than my head that I can't even finish half of! Flip's burgers are about the same size I would make for myself at home.The second time I went I had a limited time seasonal offering which was a venison burger with pea shoots, some kind of cheese that reminded me of brie, and a very sweet syrupy sauce which I could have done without, but overall it was very good. I also had onion rings and they were possibly the best onion rings I've had ever.The only thing I don't really like about Flip is the atmosphere and layout of the tables. I guess they were going for trendy upscale or whatever, but it makes me feel as if I am in a school cafeteria back in high school. I don't like it. There are long white tables shoved up against each other with uncomfortable modern looking plastic chairs that kind of look like they came from Ikea. It's also pretty loud in there because there is nothing to absorb the sound, like a school cafeteria.The last time I was in there there were a couple of women with small children. I have no idea why someone would bring a child to Flip unless that child was a very adventerous eater. They don't make anything plain. Everything on the menu has some pretty exotic ingredients. It's also very pricy for burgers. This is the last place on Earth I would bring kids to eat. Burger King is right down the street.
